PULocationID,zone,absolute_error
186,186,65.90093551060714
230,230,60.62202378140805
48,48,55.78427991186786
79,79,53.58124640812623
161,161,51.95143320871715
142,142,51.435917379878575
162,162,48.78646121670468
236,236,47.44260194460444
237,237,44.21785578625038
170,170,39.0380483475861
